almacen,codigo,producto,categoria,unidad,saldo,saldo_fisico,por_ingresar,transito,salida_espera,reservas,saldo_virtual
WH/Stock,0801001,Barra CONSTR ASTM A615 G60 8mX9M,Barra de Construcción,Unit(s),0,0,6991.000,0,0,0,6991.000
WH/Stock,0801003,"Barra CONSTR ASTM A615 G60 3/8""X9M",Barra de Construcción,Unit(s),419.000,419.000,63730.000,0,0,0,64149.000
WH/Stock,0801004,Barra CONSTR ASTM A615 G60 12mX9M,Barra de Construcción,Unit(s),0,0,1561.000,0,0,0,1561.000
WH/Stock,0801006,"Barra CONSTR ASTM A615 G60 5/8""X9M",Barra de Construcción,Unit(s),0,0,17220.000,0,0,0,17220.000
WH/Stock,0801007,"Barra CONSTR ASTM A615 G60 3/4""X9M",Barra de Construcción,Unit(s),0,0,3326.000,0,0,0,3326.000
WH/Stock,0801012,Cemento Portland Puzolanico IP YURAX42.5 Kg.,Barra de Construcción,bls.,0,0,12600.000,0,0,0,12600.000
WH/Stock,0801018,"Barra CONSTR ASTM A615 G60 3/4""X9M SP",Barra de Construcción,Unit(s),0,0,612.000,0,0,0,612.000
WH/Stock,0801019,"Barra CONSTR ASTM A615 G60 5/8""X9M SP",Barra de Construcción,Unit(s),0,0,4200.000,0,0,0,4200.000
WH/Stock,0801020,"Barra CONSTR ASTM A615 G60 3/8""X9M SP",Barra de Construcción,Unit(s),0,0,19968.000,0,0,0,19968.000
WH/Stock,0801021,"Barra CONSTR ASTM A615 G60 1/2""X9M SP",Barra de Construcción,Unit(s),0,0,13921.000,0,0,0,13921.000
WH/Stock,0801022,Barra CONSTR ASTM A615 G60 6mX9M SP,Barra de Construcción,Unit(s),0,0,15480.000,0,0,0,15480.000
WH/Stock,0801027,Barra CONSTR ASTM A615 G60 8mX9M SP,Barra de Construcción,Unit(s),0,0,2304.000,0,0,0,2304.000
WH/Stock,0801028,Barra CONSTR ASTM A615 G60 12mX9M SP,Barra de Construcción,Unit(s),0,0,1040.000,0,0,0,1040.000
WH/Stock,0829002,Barra CONSTR ASTM A615 G60 6mX9M,Barra de Construcción,Unit(s),0,0,42312.000,0,0,0,42312.000
WH/Stock,0829005,"Barra CONSTR ASTM A615 G60 1/2""X9M",Barra de Construcción,Unit(s),233.000,233.000,61926.000,0,0,0,62159.000
